CMSACode,PMSACode
1122,1120
1122,1200
1122,2600
1122,4160
1122,4560
1122,4760
1122,5350
1122,5400
1122,6450
1122,9240
1602,1600
1602,2960
1602,3740
1602,3800
1642,1640
1642,3200
1692,0080
1692,1680
1922,1920
1922,2800
2082,1125
2082,2080
2082,3060
2162,0440
2162,2160
2162,2640
3362,1145
3362,2920
3362,3360
4472,4480
4472,5945
4472,6780
4472,8735
4992,2680
4992,5000
5082,5080
5082,6600
5602,0875
5602,1160
5602,1930
5602,2281
5602,3640
5602,5015
5602,5190
5602,5380
5602,5480
5602,5600
5602,5640
5602,5660
5602,8040
5602,8480
5602,8880
6162,0560
6162,6160
6162,8760
6162,9160
6442,6440
6442,7080
6922,6920
6922,9270
7362,5775
7362,7360
7362,7400
7362,7485
7362,7500
7362,8720
7442,0470
7442,1310
7442,7440
7602,1150
7602,5910
7602,7600
7602,8200
8872,0720
8872,3180
8872,8840
