"CSA Code","CSA Name","Estimated Pop","Rank"
"104","Albany-Schenectady, NY","1176079","49"
"106","Albuquerque-Santa Fe-Las Vegas, NM","1149672","52"
"107","Altoona-Huntingdon, PA","168948","147"
"108","Amarillo-Pampa-Borger, TX","309642","110"
"118","Appleton-Oshkosh-Neenah, WI","406540","99"
"120","Asheville-Marion-Brevard, NC","535260","85"
"122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","6700650","11"
"140","Bend-Prineville, OR","209998","136"
"142","Birmingham-Hoover-Talladega, AL","1312627","45"
"144","Bloomington-Bedford, IN","213491","134"
"145","Bloomington-Pontiac, IL","208808","138"
"146","Bloomsburg-Berwick-Sunbury, PA","261629","118"
"147","Boise City-Mountain Home-Ontario, ID-OR","790363","70"
"148","Boston-Worcester-Providence, MA-RI-NH-CT","8233270","6"
"150","Bowling Green-Glasgow, KY","228743","129"
"154","Brownsville-Harlingen-Raymondville, TX","445309","93"
"160","Buffalo-Cheektowaga-Olean, NY","1214204","48"
"161","Burlington-Fort Madison-Keokuk, IA-IL-MO","105250","163"
"162","Burlington-South Burlington-Barre, VT","276685","116"
"163","Cape Coral-Fort Myers-Naples, FL","1152451","51"
"164","Cape Girardeau-Sikeston, MO-IL","135323","152"
"168","Cedar Rapids-Iowa City, IA","441784","94"
"170","Charleston-Huntington-Ashland, WV-OH-KY","792628","69"
"172","Charlotte-Concord, NC-SC","2709112","21"
"174","Chattanooga-Cleveland-Dalton, TN-GA","990732","59"
"176","Chicago-Naperville, IL-IN-WI","9901711","3"
"178","Cincinnati-Wilmington-Maysville, OH-KY-IN","2260884","30"
"184","Cleveland-Akron-Canton, OH","3601729","17"
"185","Cleveland-Indianola, MS","57926","173"
"188","Clovis-Portales, NM","68659","171"
"190","Columbia-Moberly-Mexico, MO","256640","121"
"192","Columbia-Orangeburg-Newberry, SC","950997","61"
"194","Columbus-Auburn-Opelika, GA-AL","477649","90"
"198","Columbus-Marion-Zanesville, OH","2481585","26"
"200","Columbus-West Point, MS","78826","169"
"204","Corpus Christi-Kingsville-Alice, TX","537657","84"
"206","Dallas-Fort Worth, TX-OK","7800952","7"
"209","Davenport-Moline, IA-IL","472153","91"
"212","Dayton-Springfield-Kettering, OH","1077108","55"
"216","Denver-Aurora, CO","3515374","18"
"217","DeRidder-Fort Polk South, LA","87654","168"
"218","Des Moines-Ames-West Des Moines, IA","862203","65"
"220","Detroit-Warren-Ann Arbor, MI","5336286","12"
"221","Dixon-Sterling, IL","90524","165"
"222","Dothan-Ozark, AL","197140","141"
"232","Eau Claire-Menomonie, WI","212177","135"
"233","Edwards-Glenwood Springs, CO","131780","155"
"236","Elmira-Corning, NY","181838","145"
"238","El Paso-Las Cruces, TX-NM","1060397","57"
"240","Erie-Meadville, PA","360700","105"
"244","Fargo-Wahpeton, ND-MN","264031","117"
"246","Fayetteville-Sanford-Lumberton, NC","844809","66"
"258","Fort Wayne-Huntington-Auburn, IN","603233","82"
"260","Fresno-Madera-Hanford, CA","1296246","46"
"264","Gainesville-Lake City, FL","394654","100"
"266","Grand Rapids-Kentwood-Muskegon, MI","1396349","43"
"267","Green Bay-Shawano, WI","365600","104"
"268","Greensboro--Winston-Salem--High Point, NC","1663532","36"
"272","Greenville-Kinston-Washington, NC","283013","114"
"273","Greenville-Spartanburg-Anderson, SC","1435044","42"
"276","Harrisburg-York-Lebanon, PA","1260071","47"
"277","Harrisonburg-Staunton, VA","256441","122"
"278","Hartford-East Hartford, CT","1479292","40"
"279","Hattiesburg-Laurel, MS","252468","123"
"284","Hot Springs-Malvern, AR","132232","154"
"288","Houston-The Woodlands, TX","7078523","9"
"290","Huntsville-Decatur, AL","607315","81"
"292","Idaho Falls-Rexburg-Blackfoot, ID","243805","126"
"294","Indianapolis-Carmel-Muncie, IN","2411086","28"
"296","Ithaca-Cortland, NY","152588","150"
"297","Jackson-Brownsville, TN","195919","142"
"298","Jackson-Vicksburg-Brookhaven, MS","677569","74"
"300","Jacksonville-St. Marys-Palatka, FL-GA","1631488","37"
"304","Johnson City-Kingsport-Bristol, TN-VA","508712","88"
"306","Johnstown-Somerset, PA","207555","139"
"308","Jonesboro-Paragould, AR","176322","146"
"309","Joplin-Miami, MO-OK","209819","137"
"310","Kalamazoo-Battle Creek-Portage, MI","501470","89"
"312","Kansas City-Overland Park-Kansas City, MO-KS","2472602","27"
"313","Kennewick-Richland-Walla Walla, WA","350863","107"
"314","Kerrville-Fredericksburg, TX","78366","170"
"315","Knoxville-Morristown-Sevierville, TN","1128379","53"
"316","Kokomo-Peru, IN","118208","159"
"318","Lafayette-Opelousas-Morgan City, LA","626028","79"
"320","Lafayette-West Lafayette-Frankfort, IN","259757","119"
"324","Lake Charles-Jennings, LA","240834","128"
"332","Las Vegas-Henderson, NV","2248281","31"
"336","Lexington-Fayette--Richmond--Frankfort, KY","737943","71"
"338","Lima-Van Wert-Celina, OH","218066","131"
"339","Lincoln-Beatrice, NE","353120","106"
"340","Little Rock-North Little Rock, AR","908323","63"
"348","Los Angeles-Long Beach, CA","18788800","2"
"350","Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN","1481462","39"
"352","Lubbock-Plainview-Levelland, TX","374205","103"
"356","Macon-Bibb County--Warner Robins, GA","409492","98"
"357","Madison-Janesville-Beloit, WI","880520","64"
"359","Mankato-New Ulm, MN","126133","156"
"360","Mansfield-Ashland-Bucyrus, OH","215963","132"
"361","Marinette-Iron Mountain, WI-MI","93142","164"
"362","Martin-Union City, TN","63722","172"
"364","Mayagüez-San Germán, PR","226056","130"
"365","McAllen-Edinburg, TX","925115","62"
"366","Medford-Grants Pass, OR","303831","112"
"368","Memphis-Forrest City, TN-MS-AR","1365878","44"
"370","Miami-Port St. Lucie-Fort Lauderdale, FL","6863649","10"
"372","Midland-Odessa, TX","327762","108"
"376","Milwaukee-Racine-Waukesha, WI","2048007","32"
"378","Minneapolis-St. Paul, MN-WI","3968551","16"
"380","Mobile-Daphne-Fairhope, AL","643114","77"
"384","Monroe-Ruston, LA","251830","124"
"388","Montgomery-Selma-Alexander City, AL","464553","92"
"390","Morgantown-Fairmont, WV","195046","143"
"393","Moses Lake-Othello, WA","114664","161"
"394","Mount Pleasant-Alma, MI","112081","162"
"396","Myrtle Beach-Conway, SC-NC","525772","86"
"400","Nashville-Davidson--Murfreesboro, TN","2002625","34"
"404","New Bern-Morehead City, NC","193745","144"
"406","New Orleans-Metairie-Hammond, LA-MS","1510162","38"
"408","New York-Newark, NY-NJ-CT-PA","23035605","1"
"412","North Port-Sarasota, FL","1023585","58"
"416","Oklahoma City-Shawnee, OK","1455963","41"
"420","Omaha-Council Bluffs-Fremont, NE-IA","970023","60"
"422","Orlando-Lakeland-Deltona, FL","3998092","15"
"424","Paducah-Mayfield, KY-IL","134158","153"
"425","Parkersburg-Marietta-Vienna, WV-OH","151316","151"
"426","Pensacola-Ferry Pass, FL-AL","525231","87"
"428","Philadelphia-Reading-Camden, PA-NJ-DE-MD","7206807","8"
"429","Phoenix-Mesa, AZ","4790771","13"
"430","Pittsburgh-New Castle-Weirton, PA-OH-WV","2623639","22"
"434","Ponce-Yauco-Coamo, PR","379748","101"
"438","Portland-Lewiston-South Portland, ME","639734","78"
"440","Portland-Vancouver-Salem, OR-WA","3201058","19"
"444","Pueblo-Cañon City, CO","214034","133"
"446","Pullman-Moscow, WA-ID","88379","167"
"448","Quincy-Hannibal, IL-MO","115059","160"
"450","Raleigh-Durham-Cary, NC","2006275","33"
"452","Rapid City-Spearfish, SD","163588","148"
"454","Redding-Red Bluff, CA","243847","125"
"456","Reno-Carson City-Fernley, NV","621769","80"
"458","Richmond-Connersville, IN","89394","166"
"462","Rochester-Austin, MN","257846","120"
"464","Rochester-Batavia-Seneca Falls, NY","1170402","50"
"466","Rockford-Freeport-Rochelle, IL","434408","97"
"468","Rocky Mount-Wilson-Roanoke Rapids, NC","299581","113"
"472","Sacramento-Roseville, CA","2598377","23"
"474","Saginaw-Midland-Bay City, MI","379584","102"
"476","St. Louis-St. Charles-Farmington, MO-IL","2911945","20"
"480","Salisbury-Cambridge, MD-DE","438015","96"
"482","Salt Lake City-Provo-Orem, UT","2559350","24"
"484","San Antonio-New Braunfels-Pearsall, TX","2493574","25"
"488","San Jose-San Francisco-Oakland, CA","9658361","5"
"490","San Juan-Bayamón, PR","2398030","29"
"496","Savannah-Hinesville-Statesboro, GA","573909","83"
"497","Scottsboro-Fort Payne, AL","123526","157"
"500","Seattle-Tacoma, WA","4764736","14"
"508","Shreveport-Bossier City-Minden, LA","440933","95"
"515","South Bend-Elkhart-Mishawaka, IN-MI","806810","68"
"517","Spencer-Spirit Lake, IA","33369","175"
"518","Spokane-Spokane Valley-Coeur d'Alene, WA-ID","708519","73"
"522","Springfield-Jacksonville-Lincoln, IL","309844","109"
"524","State College-DuBois, PA","242345","127"
"525","Steamboat Springs-Craig, CO","38351","174"
"532","Syracuse-Auburn, NY","732444","72"
"534","Toledo-Findlay-Tiffin, OH","834517","67"
"536","Tucson-Nogales, AZ","1068981","56"
"538","Tulsa-Muskogee-Bartlesville, OK","1111724","54"
"539","Tupelo-Corinth, MS","202552","140"
"540","Tyler-Jacksonville, TX","279967","115"
"544","Victoria-Port Lavaca, TX","121390","158"
"545","Virginia Beach-Norfolk, VA-NC","1851069","35"
"548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","9763116","4"
"554","Wausau-Stevens Point-Wisconsin Rapids, WI","307170","111"
"556","Wichita-Winfield, KS","673629","75"
"558","Williamsport-Lock Haven, PA","152839","149"
"566","Youngstown-Warren, OH-PA","645003","76"
