"CBSA Code","Division Code","Division Name","Estimated Pop"
"14460","14454","Boston, MA","2013403"
"14460","15764","Cambridge-Newton-Framingham, MA","2388152"
"14460","40484","Rockingham County-Strafford County, NH","434976"
"16980","16984","Chicago-Naperville-Evanston, IL","7193760"
"16980","20994","Elgin, IL","765618"
"16980","23844","Gary, IN","701621"
"16980","29404","Lake County-Kenosha County, IL-WI","872041"
"19100","19124","Dallas-Plano-Irving, TX","4911124"
"19100","23104","Fort Worth-Arlington-Grapevine, TX","2421420"
"19820","19804","Detroit-Dearborn-Livonia, MI","1753616"
"19820","47664","Warren-Troy-Farmington Hills, MI","2559386"
"31080","11244","Anaheim-Santa Ana-Irvine, CA","3190400"
"31080","31084","Los Angeles-Long Beach-Glendale, CA","10163507"
"33100","22744","Fort Lauderdale-Pompano Beach-Sunrise, FL","1935878"
"33100","33124","Miami-Miami Beach-Kendall, FL","2751796"
"33100","48424","West Palm Beach-Boca Raton-Boynton Beach, FL","1471150"
"35620","35004","Nassau County-Suffolk County, NY","2862467"
"35620","35084","Newark, NJ-PA","2194302"
"35620","35154","New Brunswick-Lakewood, NJ","2402524"
"35620","35614","New York-Jersey City-White Plains, NY-NJ","12183789"
"37980","15804","Camden, NJ","1251521"
"37980","33874","Montgomery County-Bucks County-Chester County, PA","1973709"
"37980","37964","Philadelphia, PA","2145559"
"37980","48864","Wilmington, DE-MD-NJ","725331"
"41860","36084","Oakland-Berkeley-Livermore, CA","2810629"
"41860","41884","San Francisco-San Mateo-Redwood City, CA","1655773"
"41860","42034","San Rafael, CA","260955"
"42660","42644","Seattle-Bellevue-Kent, WA","2990282"
"42660","45104","Tacoma-Lakewood, WA","876764"
"47900","23224","Frederick-Gaithersburg-Rockville, MD","1310832"
"47900","47894","Washington-Arlington-Alexandria, DC-VA-MD-WV","4919034"
