"State Code","CBSA Code"
"AK","11260"
"AK","21820"
"AK","27940"
"AK","28540"
"AL","10700"
"AL","10760"
"AL","11500"
"AL","12120"
"AL","12220"
"AL","13820"
"AL","17980"
"AL","18980"
"AL","19300"
"AL","19460"
"AL","20020"
"AL","21460"
"AL","21640"
"AL","22520"
"AL","22840"
"AL","23460"
"AL","26620"
"AL","27530"
"AL","29300"
"AL","33660"
"AL","33860"
"AL","37120"
"AL","42460"
"AL","42820"
"AL","45180"
"AL","45980"
"AL","46220"
"AR","11660"
"AR","12900"
"AR","14180"
"AR","15780"
"AR","20980"
"AR","22220"
"AR","22620"
"AR","22900"
"AR","25460"
"AR","25760"
"AR","26260"
"AR","26300"
"AR","27860"
"AR","30780"
"AR","31620"
"AR","31680"
"AR","32820"
"AR","34260"
"AR","37500"
"AR","38220"
"AR","40780"
"AR","42620"
"AR","45500"
"AZ","22380"
"AZ","29420"
"AZ","35700"
"AZ","37740"
"AZ","38060"
"AZ","39150"
"AZ","40940"
"AZ","43320"
"AZ","43420"
"AZ","46060"
"AZ","49740"
"CA","12540"
"CA","17020"
"CA","17340"
"CA","18860"
"CA","20940"
"CA","21700"
"CA","23420"
"CA","25260"
"CA","31080"
"CA","31460"
"CA","32900"
"CA","33700"
"CA","34900"
"CA","37100"
"CA","39780"
"CA","39820"
"CA","40140"
"CA","40900"
"CA","41500"
"CA","41740"
"CA","41860"
"CA","41940"
"CA","42020"
"CA","42100"
"CA","42200"
"CA","42220"
"CA","43760"
"CA","44700"
"CA","45000"
"CA","46020"
"CA","46380"
"CA","46700"
"CA","47300"
"CA","49700"
"CO","14500"
"CO","14720"
"CO","15860"
"CO","17820"
"CO","18780"
"CO","19740"
"CO","20420"
"CO","20780"
"CO","22660"
"CO","22820"
"CO","24060"
"CO","24300"
"CO","24540"
"CO","33940"
"CO","39380"
"CO","44460"
"CO","44540"
"CT","14860"
"CT","25540"
"CT","35300"
"CT","35980"
"CT","45860"
"CT","49340"
"DC","47900"
"DE","20100"
"DE","37980"
"DE","41540"
"FL","11580"
"FL","15980"
"FL","17500"
"FL","18880"
"FL","19660"
"FL","23540"
"FL","26140"
"FL","27260"
"FL","28580"
"FL","29380"
"FL","29460"
"FL","33100"
"FL","34940"
"FL","35840"
"FL","36100"
"FL","36380"
"FL","36740"
"FL","37260"
"FL","37340"
"FL","37460"
"FL","37860"
"FL","38940"
"FL","39460"
"FL","42680"
"FL","42700"
"FL","45220"
"FL","45300"
"FL","45540"
"FL","48100"
"GA","10500"
"GA","11140"
"GA","12020"
"GA","12060"
"GA","12260"
"GA","12460"
"GA","15260"
"GA","15660"
"GA","16340"
"GA","16860"
"GA","17980"
"GA","18380"
"GA","18460"
"GA","19140"
"GA","20060"
"GA","20140"
"GA","21640"
"GA","22340"
"GA","23580"
"GA","25980"
"GA","27600"
"GA","27700"
"GA","29300"
"GA","31420"
"GA","33300"
"GA","34220"
"GA","40660"
"GA","41220"
"GA","42340"
"GA","44340"
"GA","44900"
"GA","45580"
"GA","45620"
"GA","45700"
"GA","45740"
"GA","46660"
"GA","47080"
"GA","47580"
"GA","48180"
"HI","25900"
"HI","27980"
"HI","28180"
"HI","46520"
"IA","11180"
"IA","15460"
"IA","16140"
"IA","16300"
"IA","17540"
"IA","19340"
"IA","19780"
"IA","20220"
"IA","21840"
"IA","22700"
"IA","22800"
"IA","26980"
"IA","32260"
"IA","32380"
"IA","34700"
"IA","36540"
"IA","36820"
"IA","36900"
"IA","37800"
"IA","43580"
"IA","43980"
"IA","44020"
"IA","44740"
"IA","47940"
"ID","13940"
"ID","14260"
"ID","15420"
"ID","17660"
"ID","25200"
"ID","26820"
"ID","27220"
"ID","30300"
"ID","30860"
"ID","34140"
"ID","34300"
"ID","36620"
"ID","38540"
"ID","39940"
"ID","41760"
"ID","46300"
"IL","14010"
"IL","15460"
"IL","16020"
"IL","16060"
"IL","16460"
"IL","16580"
"IL","16660"
"IL","16980"
"IL","19180"
"IL","19340"
"IL","19500"
"IL","19940"
"IL","20820"
"IL","22800"
"IL","23300"
"IL","23660"
"IL","27300"
"IL","28100"
"IL","30660"
"IL","31380"
"IL","34500"
"IL","36837"
"IL","37140"
"IL","37900"
"IL","38700"
"IL","39500"
"IL","40300"
"IL","40420"
"IL","41180"
"IL","44100"
"IL","44580"
"IL","45380"
"IN","11420"
"IN","12140"
"IN","13260"
"IN","14020"
"IN","16980"
"IN","17140"
"IN","18020"
"IN","18220"
"IN","18820"
"IN","19540"
"IN","21140"
"IN","21780"
"IN","23060"
"IN","23140"
"IN","24700"
"IN","26540"
"IN","26900"
"IN","27540"
"IN","28340"
"IN","29020"
"IN","29200"
"IN","30900"
"IN","31140"
"IN","31500"
"IN","31980"
"IN","33140"
"IN","34620"
"IN","35220"
"IN","35860"
"IN","37940"
"IN","38500"
"IN","39980"
"IN","42500"
"IN","42980"
"IN","43780"
"IN","45460"
"IN","47180"
"IN","47340"
"IN","47700"
"IN","47780"
"KS","11860"
"KS","17700"
"KS","19980"
"KS","21380"
"KS","23780"
"KS","24460"
"KS","25700"
"KS","26740"
"KS","28140"
"KS","29940"
"KS","30580"
"KS","31740"
"KS","32700"
"KS","36840"
"KS","37660"
"KS","38260"
"KS","41140"
"KS","41460"
"KS","45820"
"KS","48620"
"KS","49060"
"KY","12680"
"KY","14540"
"KY","15820"
"KY","16420"
"KY","17140"
"KY","17300"
"KY","19220"
"KY","21060"
"KY","21780"
"KY","23180"
"KY","23980"
"KY","26580"
"KY","30460"
"KY","30940"
"KY","31140"
"KY","31580"
"KY","32460"
"KY","32500"
"KY","33180"
"KY","34460"
"KY","34660"
"KY","36980"
"KY","37140"
"KY","40080"
"KY","43700"
"LA","10780"
"LA","12940"
"LA","14220"
"LA","19760"
"LA","22860"
"LA","25220"
"LA","26380"
"LA","27660"
"LA","29180"
"LA","29340"
"LA","33380"
"LA","33740"
"LA","34020"
"LA","35020"
"LA","35060"
"LA","35380"
"LA","36660"
"LA","40820"
"LA","43340"
"MA","12700"
"MA","14460"
"MA","38340"
"MA","39300"
"MA","44140"
"MA","47240"
"MA","49340"
"MD","12580"
"MD","15680"
"MD","15700"
"MD","19060"
"MD","20660"
"MD","25180"
"MD","37980"
"MD","41540"
"MD","47900"
"ME","12300"
"ME","12620"
"ME","30340"
"ME","38860"
"MI","10300"
"MI","10940"
"MI","10980"
"MI","11460"
"MI","12980"
"MI","13020"
"MI","13660"
"MI","15620"
"MI","17740"
"MI","19820"
"MI","21540"
"MI","22420"
"MI","24340"
"MI","25880"
"MI","26090"
"MI","26340"
"MI","27020"
"MI","27100"
"MI","28020"
"MI","29620"
"MI","31220"
"MI","31940"
"MI","32100"
"MI","33220"
"MI","33780"
"MI","34380"
"MI","34740"
"MI","35660"
"MI","40980"
"MI","42300"
"MI","43780"
"MI","44780"
"MI","45900"
"MN","10660"
"MN","10820"
"MN","12380"
"MN","13420"
"MN","14660"
"MN","20260"
"MN","21860"
"MN","22020"
"MN","22060"
"MN","22260"
"MN","24220"
"MN","24330"
"MN","26780"
"MN","29100"
"MN","31860"
"MN","32140"
"MN","33460"
"MN","35580"
"MN","36940"
"MN","39860"
"MN","40340"
"MN","41060"
"MN","47420"
"MN","48820"
"MN","49100"
"MN","49380"
"MO","14700"
"MO","16020"
"MO","17860"
"MO","22100"
"MO","22780"
"MO","22800"
"MO","25300"
"MO","27620"
"MO","27900"
"MO","28140"
"MO","28380"
"MO","28860"
"MO","30060"
"MO","32180"
"MO","32340"
"MO","33020"
"MO","33620"
"MO","38740"
"MO","39500"
"MO","40620"
"MO","41140"
"MO","41180"
"MO","42740"
"MO","43460"
"MO","44180"
"MO","47660"
"MO","48460"
"MS","15020"
"MS","17260"
"MS","17380"
"MS","18060"
"MS","18420"
"MS","24740"
"MS","24900"
"MS","24980"
"MS","25060"
"MS","25620"
"MS","26940"
"MS","27140"
"MS","29860"
"MS","32620"
"MS","32820"
"MS","32940"
"MS","35020"
"MS","37060"
"MS","38100"
"MS","44260"
"MS","46180"
"MS","46980"
"MS","48500"
"MT","13740"
"MT","14580"
"MT","15580"
"MT","24500"
"MT","25740"
"MT","28060"
"MT","33540"
"NC","10620"
"NC","11700"
"NC","14380"
"NC","14820"
"NC","15500"
"NC","16740"
"NC","19000"
"NC","20500"
"NC","21020"
"NC","22180"
"NC","22580"
"NC","24140"
"NC","24660"
"NC","24780"
"NC","25780"
"NC","25860"
"NC","27340"
"NC","28620"
"NC","28820"
"NC","29900"
"NC","31300"
"NC","32000"
"NC","33980"
"NC","34340"
"NC","34820"
"NC","35100"
"NC","35900"
"NC","38240"
"NC","39580"
"NC","40260"
"NC","40460"
"NC","40580"
"NC","41820"
"NC","43140"
"NC","47260"
"NC","47820"
"NC","48900"
"NC","48980"
"NC","49180"
"ND","13900"
"ND","19860"
"ND","22020"
"ND","24220"
"ND","27420"
"ND","33500"
"ND","47420"
"ND","48780"
"NE","13100"
"NE","18100"
"NE","23340"
"NE","24260"
"NE","25580"
"NE","28260"
"NE","30420"
"NE","30700"
"NE","35740"
"NE","35820"
"NE","36540"
"NE","42420"
"NE","43580"
"NH","13620"
"NH","14460"
"NH","18180"
"NH","28300"
"NH","29060"
"NH","30100"
"NH","31700"
"NJ","10900"
"NJ","12100"
"NJ","35620"
"NJ","36140"
"NJ","37980"
"NJ","45940"
"NJ","47220"
"NM","10460"
"NM","10740"
"NM","16100"
"NM","17580"
"NM","19700"
"NM","21580"
"NM","22140"
"NM","23700"
"NM","24380"
"NM","26020"
"NM","29740"
"NM","29780"
"NM","31060"
"NM","38780"
"NM","40740"
"NM","40760"
"NM","42140"
"NM","43500"
"NM","45340"
"NV","16180"
"NV","21220"
"NV","21980"
"NV","22280"
"NV","23820"
"NV","29820"
"NV","37220"
"NV","39900"
"NV","49080"
"NY","10580"
"NY","11220"
"NY","12180"
"NY","12860"
"NY","13780"
"NY","15380"
"NY","18500"
"NY","18660"
"NY","21300"
"NY","24020"
"NY","24100"
"NY","26460"
"NY","27060"
"NY","27460"
"NY","28740"
"NY","31660"
"NY","35620"
"NY","36300"
"NY","36460"
"NY","36580"
"NY","38460"
"NY","39100"
"NY","40380"
"NY","42900"
"NY","45060"
"NY","46540"
"NY","48060"
"OH","10420"
"OH","11740"
"OH","11780"
"OH","11900"
"OH","13340"
"OH","15340"
"OH","15740"
"OH","15940"
"OH","16380"
"OH","17060"
"OH","17140"
"OH","17460"
"OH","18140"
"OH","18740"
"OH","19430"
"OH","19580"
"OH","22300"
"OH","23380"
"OH","24820"
"OH","26580"
"OH","27160"
"OH","30620"
"OH","31900"
"OH","31930"
"OH","32020"
"OH","34540"
"OH","35420"
"OH","35940"
"OH","38580"
"OH","39020"
"OH","41400"
"OH","41780"
"OH","43380"
"OH","44220"
"OH","45660"
"OH","45780"
"OH","46500"
"OH","46780"
"OH","47540"
"OH","47920"
"OH","48260"
"OH","48540"
"OH","48940"
"OH","49300"
"OH","49660"
"OH","49780"
"OK","10220"
"OK","11060"
"OK","11620"
"OK","12780"
"OK","20340"
"OK","20460"
"OK","21120"
"OK","21420"
"OK","22900"
"OK","25100"
"OK","30020"
"OK","32540"
"OK","33060"
"OK","34780"
"OK","36420"
"OK","38620"
"OK","43060"
"OK","44660"
"OK","45140"
"OK","46140"
"OK","48220"
"OK","49260"
"OR","10540"
"OR","11820"
"OR","13460"
"OR","15060"
"OR","18300"
"OR","18700"
"OR","21660"
"OR","24420"
"OR","25840"
"OR","26220"
"OR","28900"
"OR","29260"
"OR","32780"
"OR","35440"
"OR","36620"
"OR","38900"
"OR","39260"
"OR","40700"
"OR","41420"
"OR","45520"
"PA","10900"
"PA","11020"
"PA","14100"
"PA","14620"
"PA","16540"
"PA","20180"
"PA","20700"
"PA","21500"
"PA","23900"
"PA","25420"
"PA","26500"
"PA","26860"
"PA","27780"
"PA","29540"
"PA","30140"
"PA","30260"
"PA","30380"
"PA","30820"
"PA","32740"
"PA","35260"
"PA","35620"
"PA","36340"
"PA","37980"
"PA","38300"
"PA","39060"
"PA","39740"
"PA","41260"
"PA","42380"
"PA","42540"
"PA","42780"
"PA","43740"
"PA","44300"
"PA","44980"
"PA","47620"
"PA","48700"
"PA","49620"
"PA","49660"
"PR","10380"
"PR","11640"
"PR","17620"
"PR","17640"
"PR","25020"
"PR","27580"
"PR","32420"
"PR","38660"
"PR","41900"
"PR","41980"
"PR","42180"
"PR","49500"
"RI","39300"
"SC","12260"
"SC","13500"
"SC","16700"
"SC","16740"
"SC","17900"
"SC","22500"
"SC","23500"
"SC","23860"
"SC","24860"
"SC","24940"
"SC","25940"
"SC","34820"
"SC","35140"
"SC","36700"
"SC","42860"
"SC","43900"
"SC","44940"
"SC","46420"
"SD","10100"
"SD","15100"
"SD","26700"
"SD","33580"
"SD","38180"
"SD","39660"
"SD","43580"
"SD","43620"
"SD","43940"
"SD","46820"
"SD","47980"
"SD","49460"
"TN","11940"
"TN","15140"
"TN","16860"
"TN","17300"
"TN","17420"
"TN","18260"
"TN","18900"
"TN","19420"
"TN","20540"
"TN","24620"
"TN","27180"
"TN","27740"
"TN","28700"
"TN","28940"
"TN","29980"
"TN","30280"
"TN","32280"
"TN","32660"
"TN","32820"
"TN","34100"
"TN","34980"
"TN","35460"
"TN","37540"
"TN","42940"
"TN","43180"
"TN","46100"
"TN","46460"
"TX","10180"
"TX","10860"
"TX","11100"
"TX","11380"
"TX","11980"
"TX","12420"
"TX","13060"
"TX","13140"
"TX","13300"
"TX","13700"
"TX","14300"
"TX","14420"
"TX","14780"
"TX","15180"
"TX","15220"
"TX","17780"
"TX","18580"
"TX","18620"
"TX","19100"
"TX","19620"
"TX","20300"
"TX","20580"
"TX","20900"
"TX","21340"
"TX","23240"
"TX","23620"
"TX","24180"
"TX","25820"
"TX","26420"
"TX","26660"
"TX","27380"
"TX","28500"
"TX","28660"
"TX","28780"
"TX","29500"
"TX","29700"
"TX","30220"
"TX","30980"
"TX","31180"
"TX","31260"
"TX","32580"
"TX","33260"
"TX","33420"
"TX","34420"
"TX","34860"
"TX","36220"
"TX","37300"
"TX","37420"
"TX","37580"
"TX","37770"
"TX","37780"
"TX","38380"
"TX","38920"
"TX","39700"
"TX","40100"
"TX","40530"
"TX","41660"
"TX","41700"
"TX","43300"
"TX","43660"
"TX","44500"
"TX","44860"
"TX","45020"
"TX","45500"
"TX","46340"
"TX","46620"
"TX","46900"
"TX","47020"
"TX","47380"
"TX","48660"
"TX","49820"
"UT","16260"
"UT","25720"
"UT","30860"
"UT","36260"
"UT","39220"
"UT","39340"
"UT","41100"
"UT","41620"
"UT","46860"
"VA","13720"
"VA","13980"
"VA","14140"
"VA","16820"
"VA","19260"
"VA","25500"
"VA","28700"
"VA","31340"
"VA","32300"
"VA","40060"
"VA","40220"
"VA","44420"
"VA","47260"
"VA","47900"
"VA","49020"
"VT","12740"
"VT","13540"
"VT","15540"
"VT","30100"
"VT","40860"
"WA","10140"
"WA","13380"
"WA","14740"
"WA","16500"
"WA","21260"
"WA","28420"
"WA","30300"
"WA","31020"
"WA","34180"
"WA","34580"
"WA","36020"
"WA","36500"
"WA","36830"
"WA","38820"
"WA","38900"
"WA","39420"
"WA","42660"
"WA","43220"
"WA","44060"
"WA","47460"
"WA","48300"
"WA","49420"
"WI","11540"
"WI","12660"
"WI","13180"
"WI","16980"
"WI","20260"
"WI","20740"
"WI","22540"
"WI","24580"
"WI","27020"
"WI","27500"
"WI","29100"
"WI","31540"
"WI","31820"
"WI","31940"
"WI","32860"
"WI","33340"
"WI","33460"
"WI","36780"
"WI","38420"
"WI","39540"
"WI","43020"
"WI","43100"
"WI","44620"
"WI","48020"
"WI","48140"
"WI","48580"
"WI","49220"
"WV","13220"
"WV","14140"
"WV","16620"
"WV","17220"
"WV","19060"
"WV","21180"
"WV","21900"
"WV","25180"
"WV","26580"
"WV","34060"
"WV","34350"
"WV","37620"
"WV","38580"
"WV","47900"
"WV","48260"
"WV","48540"
"WV","49020"
"WY","16220"
"WY","16940"
"WY","21740"
"WY","23940"
"WY","27220"
"WY","29660"
"WY","40180"
"WY","40540"
"WY","43260"
