"State Code","CSA Code"
"AL","122"
"AL","142"
"AL","194"
"AL","222"
"AL","290"
"AL","380"
"AL","388"
"AL","426"
"AL","497"
"AR","284"
"AR","308"
"AR","340"
"AR","368"
"AZ","429"
"AZ","536"
"CA","260"
"CA","348"
"CA","454"
"CA","472"
"CA","488"
"CO","216"
"CO","233"
"CO","444"
"CO","525"
"CT","148"
"CT","278"
"CT","408"
"DC","548"
"DE","428"
"DE","480"
"FL","163"
"FL","264"
"FL","300"
"FL","370"
"FL","412"
"FL","422"
"FL","426"
"GA","122"
"GA","174"
"GA","194"
"GA","300"
"GA","356"
"GA","496"
"IA","161"
"IA","168"
"IA","209"
"IA","218"
"IA","420"
"IA","517"
"ID","147"
"ID","292"
"ID","446"
"ID","518"
"IL","145"
"IL","161"
"IL","164"
"IL","176"
"IL","209"
"IL","221"
"IL","424"
"IL","448"
"IL","466"
"IL","476"
"IL","522"
"IN","144"
"IN","176"
"IN","178"
"IN","258"
"IN","294"
"IN","316"
"IN","320"
"IN","350"
"IN","458"
"IN","515"
"KS","312"
"KS","556"
"KY","150"
"KY","170"
"KY","178"
"KY","336"
"KY","350"
"KY","424"
"LA","217"
"LA","318"
"LA","324"
"LA","384"
"LA","406"
"LA","508"
"MA","148"
"MD","428"
"MD","480"
"MD","548"
"ME","438"
"MI","220"
"MI","266"
"MI","310"
"MI","361"
"MI","394"
"MI","474"
"MI","515"
"MN","244"
"MN","359"
"MN","378"
"MN","462"
"MO","161"
"MO","164"
"MO","190"
"MO","309"
"MO","312"
"MO","448"
"MO","476"
"MS","185"
"MS","200"
"MS","279"
"MS","298"
"MS","368"
"MS","406"
"MS","539"
"NC","120"
"NC","172"
"NC","246"
"NC","268"
"NC","272"
"NC","396"
"NC","404"
"NC","450"
"NC","468"
"NC","545"
"ND","244"
"NE","339"
"NE","420"
"NH","148"
"NJ","408"
"NJ","428"
"NM","106"
"NM","188"
"NM","238"
"NV","332"
"NV","456"
"NY","104"
"NY","160"
"NY","236"
"NY","296"
"NY","408"
"NY","464"
"NY","532"
"OH","170"
"OH","178"
"OH","184"
"OH","198"
"OH","212"
"OH","338"
"OH","360"
"OH","425"
"OH","430"
"OH","534"
"OH","566"
"OK","206"
"OK","309"
"OK","416"
"OK","538"
"OR","140"
"OR","147"
"OR","366"
"OR","440"
"PA","107"
"PA","146"
"PA","240"
"PA","276"
"PA","306"
"PA","408"
"PA","428"
"PA","430"
"PA","524"
"PA","548"
"PA","558"
"PA","566"
"PR","364"
"PR","434"
"PR","490"
"RI","148"
"SC","172"
"SC","192"
"SC","273"
"SC","396"
"SD","452"
"TN","174"
"TN","297"
"TN","304"
"TN","315"
"TN","362"
"TN","368"
"TN","400"
"TX","108"
"TX","154"
"TX","204"
"TX","206"
"TX","238"
"TX","288"
"TX","314"
"TX","352"
"TX","365"
"TX","372"
"TX","484"
"TX","540"
"TX","544"
"UT","482"
"VA","277"
"VA","304"
"VA","545"
"VA","548"
"VT","162"
"WA","313"
"WA","393"
"WA","440"
"WA","446"
"WA","500"
"WA","518"
"WI","118"
"WI","176"
"WI","232"
"WI","267"
"WI","357"
"WI","361"
"WI","376"
"WI","378"
"WI","554"
"WV","170"
"WV","390"
"WV","425"
"WV","430"
"WV","548"
